X,Y
-81.23474249,-4.260315887
-81.23474248,-4.260296182
-81.23474217,-4.259273283
-81.23474217,-4.25926343
-81.2347421,-4.259054729
-81.2347421,-4.259044876
-81.23474179,-4.258030038
-81.23474179,-4.258020185
-81.23474144,-4.25687726
-81.23474143,-4.256827996
-81.23473935,-4.249952533
-81.23473934,-4.24994268
-81.23473267,-4.260325743
-81.23473267,-4.26031589
-81.23473235,-4.259263433
-81.23473235,-4.25925358
-81.23473229,-4.259074438
-81.23473229,-4.259054732
-81.23473198,-4.258039894
-81.23473198,-4.258030041
-81.23473164,-4.256906821
-81.23473163,-4.256877263
-81.23472287,-4.260345452
-81.23472286,-4.260325746
-81.23472253,-4.259253583
-81.23472253,-4.25924373
-81.23472248,-4.259084293
-81.23472248,-4.259074441
-81.23472217,-4.258049749
-81.23472217,-4.258039897
-81.23472183,-4.256936383
-81.23472182,-4.256906824
-81.23471972,-4.249942686
-81.23471971,-4.249932833
-81.23471306,-4.26036516
-81.23471305,-4.260345455
-81.23471272,-4.259243733
-81.23471271,-4.259233881
-81.23471267,-4.259094149
-81.23471267,-4.259084296
-81.23471236,-4.258059605
-81.23471236,-4.258049752
-81.23471234,-4.257992428
-81.23471234,-4.257982575
-81.23471203,-4.256965944
-81.23471202,-4.256936386
-81.2347099,-4.249932836
-81.2347099,-4.249922983
-81.23470801,-4.256965946
-81.23470325,-4.260375016
-81.23470324,-4.260365163
-81.2347029,-4.259233884
-81.2347029,-4.259224031
-81.23470286,-4.259104005
-81.23470286,-4.259094152
-81.23470263,-4.258347132
-81.23470263,-4.258337279
-81.23470255,-4.258069461
-81.23470254,-4.258059608
-81.23470008,-4.249922986
-81.23470008,-4.249913133
-81.23469344,-4.260394725
-81.23469343,-4.260375019
-81.23469305,-4.259113861
-81.23469305,-4.259104008
-81.23469274,-4.258079317
-81.23469273,-4.258069464
-81.23469026,-4.249913136
-81.23468363,-4.260414433
-81.23468362,-4.260394728
-81.23468327,-4.259224037
-81.23468325,-4.25916895
-81.23468324,-4.259113864
-81.23468292,-4.258089173
-81.23468292,-4.25807932
-81.23467644,-4.249913141
-81.23467383,-4.2604637
-81.23467382,-4.260414436
-81.23467311,-4.258099028
-81.23467311,-4.258089176
-81.23467284,-4.257212276
-81.23467284,-4.25718854
-81.23467281,-4.257095835
-81.23466403,-4.260503115
-81.23466402,-4.260463703
-81.2346633,-4.258108884
-81.2346633,-4.258099031
-81.23466308,-4.257379777
-81.23466307,-4.257342158
-81.23465422,-4.260522823
-81.23465421,-4.260503118
-81.23465349,-4.25811874
-81.23465349,-4.258108887
-81.23465345,-4.257982593
-81.23465345,-4.25797274
-81.23465329,-4.257438897
-81.23465327,-4.25737978
-81.23465326,-4.257342161
-81.23465325,-4.257322455
-81.23464441,-4.260552385
-81.23464441,-4.260522826
-81.23464374,-4.258337297
-81.23464374,-4.258327444
-81.23464368,-4.258128596
-81.23464368,-4.258118743
-81.23464348,-4.257478311
-81.23464347,-4.2574389
-81.23464344,-4.257322458
-81.23464342,-4.257267372
-81.2346434,-4.257212285
-81.23463461,-4.260572093
-81.2346346,-4.260552388
-81.23463387,-4.258138452
-81.23463387,-4.258128599
-81.23463368,-4.257517725
-81.23463367,-4.257478314
-81.2346248,-4.260601655
-81.23462479,-4.260572096
-81.23462406,-4.258148307
-81.23462405,-4.258138455
-81.23462388,-4.257557139
-81.23462387,-4.257517728
-81.2346237,-4.256975824
-81.2346237,-4.256965971
-81.23462157,-4.249913157
-81.23462156,-4.249903304
-81.23461499,-4.260601658
-81.23461425,-4.258158163
-81.23461424,-4.25814831
-81.23461408,-4.257606406
-81.23461406,-4.257557142
-81.23461389,-4.25698568
-81.23461389,-4.256975827
-81.23460443,-4.258168019
-81.23460443,-4.258158166
-81.23460427,-4.257635968
-81.23460426,-4.257606409
-81.23460411,-4.257095856
-81.23460408,-4.256985683
-81.23459462,-4.258177875
-81.23459462,-4.258168022
-81.23459447,-4.257675382
-81.23459446,-4.257635971
-81.23459212,-4.249903313
-81.23459212,-4.249893461
-81.23458481,-4.258187731
-81.23458481,-4.258177878
-81.23458467,-4.257724649
-81.23458466,-4.257675385
-81.234575,-4.258197586
-81.234575,-4.258187734
-81.23457487,-4.257764063
-81.23457486,-4.257724652
-81.23457249,-4.249893467
-81.23457249,-4.249883614
-81.23456605,-4.261054901
-81.23456605,-4.261036988
-81.23456603,-4.260987724
-81.23456512,-4.257972767
-81.23456512,-4.257962914
-81.23456507,-4.25781333
-81.23456505,-4.257764066
-81.23455624,-4.261064757
-81.23455624,-4.261054904
-81.23455622,-4.260987727
-81.23455619,-4.260889199
-81.23455537,-4.258207445
-81.23455537,-4.258197592
-81.23455527,-4.257852744
-81.23455526,-4.257813333
-81.23455286,-4.24988362
-81.23454643,-4.261074613
-81.23454643,-4.26106476
-81.23454637,-4.260889202
-81.23454636,-4.260849791
-81.23454629,-4.260611531
-81.23454629,-4.260601679
-81.23454556,-4.258217301
-81.23454556,-4.258207448
-81.23454549,-4.25796292
-81.23454545,-4.257852747
-81.23453662,-4.261084469
-81.23453661,-4.261074616
-81.23453655,-4.260849794
-81.23453653,-4.26080053
-81.23453649,-4.260666621
-81.23453647,-4.260611534
-81.23453578,-4.258327477
-81.23453575,-4.258217304
-81.23452681,-4.261104177
-81.2345268,-4.261084472
-81.234517,-4.261114033
-81.23451699,-4.26110418
-81.2345136,-4.249883632
-81.2345136,-4.249873779
-81.23450719,-4.261123889
-81.23450718,-4.261114036
-81.23449738,-4.261143598
-81.23449737,-4.261123892
-81.23449575,-4.249873784
-81.23448757,-4.261153453
-81.23448756,-4.261143601
-81.23448594,-4.24988364
-81.23448594,-4.249873787
-81.23447776,-4.261173162
-81.23447775,-4.261153456
-81.23447613,-4.249893496
-81.23447613,-4.249883643
-81.23446795,-4.261192871
-81.23446794,-4.261173165
-81.23446632,-4.249903352
-81.23446632,-4.249893499
-81.23445814,-4.261212579
-81.23445814,-4.261192874
-81.23445651,-4.24992306
-81.23445651,-4.249903355
-81.23444833,-4.261222435
-81.23444833,-4.261212582
-81.2344467,-4.249932916
-81.2344467,-4.249923063
-81.23443852,-4.261242144
-81.23443852,-4.261222438
-81.23443689,-4.249942772
-81.23443689,-4.249932919
-81.23442871,-4.261251999
-81.23442871,-4.261242147
-81.23442708,-4.249952628
-81.23442708,-4.249942775
-81.2344189,-4.261261855
-81.2344189,-4.261252002
-81.23441727,-4.249972336
-81.23441726,-4.249952631
-81.23440909,-4.261281564
-81.23440908,-4.261261858
-81.23440746,-4.249982192
-81.23440746,-4.249972339
-81.23439765,-4.249992048
-81.23439764,-4.249982195
-81.23438784,-4.250001904
-81.23438783,-4.249992051
-81.23437965,-4.261291426
-81.23437965,-4.261281573
-81.23437803,-4.250021612
-81.23437802,-4.250001907
-81.23436984,-4.261301281
-81.23436984,-4.261291429
-81.23436822,-4.250031468
-81.23436821,-4.250021615
-81.23436003,-4.261311137
-81.23436003,-4.261301284
-81.23434041,-4.261330849
-81.2343404,-4.261311143
-81.23433059,-4.261340705
-81.23433059,-4.261330852
-81.23432079,-4.261380119
-81.23432078,-4.261340708
-81.23431098,-4.261389975
-81.23431098,-4.261380122
-81.23430117,-4.261409683
-81.23430117,-4.261389978
-81.23429136,-4.261419539
-81.23429136,-4.261409686
-81.23428155,-4.261439247
-81.23428155,-4.261419542
-81.23427174,-4.261458956
-81.23427174,-4.26143925
-81.23426193,-4.261468812
-81.23426193,-4.261458959
-81.23425212,-4.26148852
-81.23425212,-4.261468815
-81.23424866,-4.250031504
-81.23424866,-4.250021652
-81.23424232,-4.261508229
-81.23424231,-4.261488523
-81.23423884,-4.250021655
-81.23423884,-4.250011802
