X,Y
474187.7859,9529618.161
474187.7859,9529626.874
474187.7862,9530606.875
474187.7862,9530607.964
474188.875,9529560.438
474188.875,9529562.616
474188.875,9529615.982
474188.875,9529618.161
474188.875,9529634.299
474188.875,9529635.388
474188.8751,9529947.072
474188.8751,9529948.161
474189.9641,9529558.26
474189.9641,9529560.438
474189.9641,9529567.863
474189.9641,9529568.953
474189.9641,9529635.388
474189.9642,9529639.745
474189.9642,9529680.24
474189.9642,9529683.309
474189.9642,9529944.894
474189.9642,9529947.072
474191.0532,9529554.992
474191.0532,9529558.26
474191.0533,9529639.745
474191.0533,9529643.012
474191.0533,9529676.973
474191.0533,9529680.24
474191.0533,9529902.418
474191.0533,9529903.309
474191.0533,9529916.379
474191.0533,9529943.805
474191.0533,9529944.894
474192.1423,9529509.25
474192.1423,9529511.873
474192.1423,9529515.586
474192.1424,9529551.725
474192.1424,9529554.992
474192.1424,9529643.012
474192.1424,9529650.636
474192.1424,9529666.082
474192.1424,9529670.883
474192.1424,9529676.973
474192.1424,9529898.062
474192.1424,9529902.418
474192.1424,9529941.626
474192.1424,9529943.805
474192.1426,9530607.964
474192.1426,9530609.053
474192.5879,9529683.309
474193.2314,9529500.537
474193.2315,9529509.25
474193.2315,9529515.586
474193.2315,9529516.675
474193.2315,9529549.547
474193.2315,9529551.725
474193.2315,9529650.636
474193.2315,9529657.814
474193.2315,9529659.992
474193.2315,9529666.082
474193.2315,9529894.795
474193.2315,9529898.062
474193.2316,9529939.448
474193.2316,9529941.626
474194.3206,9529498.358
474194.3206,9529500.537
474194.3206,9529546.279
474194.3206,9529549.547
474194.3207,9529891.527
474194.3207,9529894.795
474194.3207,9529916.379
474194.3207,9529918.557
474194.3207,9529937.27
474194.3207,9529939.448
474195.4097,9529496.18
474195.4097,9529498.358
474195.4097,9529516.675
474195.4097,9529531.923
474195.4097,9529544.101
474195.4097,9529546.279
474195.4098,9529887.171
474195.4098,9529891.527
474195.4098,9529918.557
474195.4098,9529937.27
474196.4988,9529495.091
474196.4988,9529496.18
