ESTE,NORTE
473959.3744,9529423.129
473960.4635,9529423.129
473960.4635,9529425.308
473961.5526,9529425.308
473961.5526,9529431.397
473961.5526,9529437.486
473958.2853,9529437.486
473958.2853,9529440.109
473958.2853,9529450.357
473965.909,9529450.357
473965.909,9529462.535
473964.8199,9529462.535
473964.8199,9529463.624
473963.7308,9529463.624
473963.7308,9529464.713
473954.3744,9529464.713
473953.9289,9529464.713
473953.9289,9529467.981
473952.8398,9529467.981
473952.8398,9529471.248
473951.7507,9529471.248
473951.7507,9529474.515
473950.6616,9529474.515
473950.6616,9529479.961
473949.5725,9529479.961
473949.5725,9529485.406
473948.4834,9529485.406
473948.4834,9529488.673
473947.3943,9529488.673
473947.3943,9529491.941
473945.2161,9529491.941
473945.2161,9529494.119
473944.127,9529494.119
473944.127,9529496.297
473943.0379,9529496.297
473943.0379,9529500.654
473941.9488,9529500.654
473941.9488,9529506.099
473940.8597,9529506.099
473940.8597,9529510.455
473939.7706,9529510.455
473939.7706,9529514.812
473938.6815,9529514.812
473938.6815,9529519.168
473937.5924,9529519.168
473937.5924,9529522.436
473936.5033,9529522.436
473936.5033,9529525.703
473935.4142,9529525.703
473935.4142,9529530.059
473934.3251,9529530.059
473934.3251,9529530.95
473934.3251,9529544.019
473937.5924,9529544.019
473937.5924,9529546.198
473938.6815,9529546.198
473938.6815,9529564.91
473937.5924,9529564.91
473937.5924,9529567.089
473936.5033,9529567.089
473936.5033,9529569.267
473935.4142,9529569.267
473935.4142,9529571.445
473934.3251,9529571.445
473934.3251,9529572.534
473933.236,9529572.534
473933.236,9529574.712
473932.1469,9529574.712
473932.1469,9529575.801
473929.9687,9529575.801
473929.9687,9529580.158
473916.7014,9529580.158
473916.7014,9529579.069
473914.5232,9529579.069
473914.5232,9529577.98
473912.345,9529577.98
473912.345,9529576.891
473911.454,9529576.891
473911.454,9529582.336
473910.3649,9529582.336
473910.3649,9529593.227
473897.2957,9529593.227
473896.2066,9529593.227
473896.2066,9529594.316
473895.1175,9529594.316
473895.1175,9529595.405
473894.0284,9529595.405
473894.0284,9529596.494
473892.9393,9529596.494
473892.9393,9529598.673
473891.8502,9529598.673
473891.8502,9529599.762
473890.7611,9529599.762
473890.7611,9529600.851
473889.672,9529600.851
473889.672,9529601.94
473888.5829,9529601.94
473888.5829,9529604.118
473887.4938,9529604.118
473887.4938,9529605.207
473886.4047,9529605.207
473886.4047,9529606.296
473885.3156,9529606.296
473885.3156,9529608.474
473884.2265,9529608.474
473884.2265,9529609.564
473883.1374,9529609.564
473883.1374,9529610.653
473882.0483,9529610.653
473882.0483,9529612.831
473880.9592,9529612.831
473880.9592,9529613.92
473879.8701,9529613.92
473879.8701,9529615.009
473878.781,9529615.009
473878.781,9529617.187
473877.6919,9529617.187
473877.6919,9529619.365
473876.6028,9529619.365
473876.6028,9529620.455
473875.5137,9529620.455
473875.5137,9529621.544
473874.4246,9529621.544
473874.4246,9529623.722
473873.3355,9529623.722
473873.3355,9529624.811
473872.2464,9529624.811
473872.2464,9529625.9
473868.9791,9529625.9
473868.9791,9529626.989
473867.89,9529626.989
473867.89,9529628.078
473866.8009,9529628.078
473866.8009,9529630.256
473865.7118,9529630.256
473865.7118,9529631.346
473864.6227,9529631.346
473864.6227,9529633.524
473863.5336,9529633.524
473863.5336,9529634.613
473862.4445,9529634.613
473862.4445,9529636.791
473861.3554,9529636.791
473861.3554,9529637.88
473860.2663,9529637.88
473860.2663,9529640.058
473859.1772,9529640.058
473859.1772,9529642.237
473858.0881,9529642.237
473858.0881,9529644.415
