X,Y
-81.23240798,-4.253492324
-81.23240797,-4.253462765
-81.23239919,-4.25693095
-81.23239919,-4.256911244
-81.23239887,-4.255839082
-81.23239886,-4.25582923
-81.23239882,-4.255669793
-81.23239881,-4.25565994
-81.23239851,-4.25463525
-81.2323985,-4.254625397
-81.23239817,-4.253521885
-81.23239816,-4.253492326
-81.23239608,-4.246528196
-81.23239607,-4.246518343
-81.23238939,-4.256950658
-81.23238938,-4.256930953
-81.23238905,-4.255829233
-81.23238905,-4.25581938
-81.23238901,-4.255679649
-81.232389,-4.255669796
-81.23238869,-4.254645106
-81.23238869,-4.254635253
-81.23238867,-4.254577928
-81.23238867,-4.254568076
-81.23238837,-4.253551446
-81.23238836,-4.253521888
-81.23238626,-4.246518346
-81.23238626,-4.246508494
-81.23238435,-4.253551447
-81.23237958,-4.256960514
-81.23237957,-4.256950661
-81.23237923,-4.255819383
-81.23237923,-4.25580953
-81.23237919,-4.255689504
-81.23237919,-4.255679652
-81.23237897,-4.254932632
-81.23237896,-4.254922779
-81.23237888,-4.254654962
-81.23237888,-4.254645109
-81.23237644,-4.246508497
-81.23237644,-4.246498644
-81.23236977,-4.256980223
-81.23236976,-4.256960517
-81.23236938,-4.25569936
-81.23236938,-4.255689507
-81.23236907,-4.254664817
-81.23236907,-4.254654964
-81.23236663,-4.246498647
-81.23235996,-4.256999931
-81.23235995,-4.256980226
-81.2323596,-4.255809536
-81.23235959,-4.255754449
-81.23235957,-4.255699363
-81.23235926,-4.254674673
-81.23235926,-4.25466482
-81.2323528,-4.246498651
-81.23235016,-4.257049198
-81.23235015,-4.256999934
-81.23234945,-4.254684529
-81.23234945,-4.254674676
-81.23234918,-4.253797778
-81.23234918,-4.253774042
-81.23234915,-4.253681336
-81.23234036,-4.257088612
-81.23234035,-4.257049201
-81.23233964,-4.254694385
-81.23233964,-4.254684532
-81.23233942,-4.253965278
-81.23233941,-4.253927659
-81.23233055,-4.257108321
-81.23233054,-4.257088615
-81.23232983,-4.25470424
-81.23232983,-4.254694388
-81.23232979,-4.254568093
-81.23232978,-4.254558241
-81.23232962,-4.254024398
-81.23232961,-4.253965281
-81.2323296,-4.253927662
-81.23232959,-4.253907957
