x_utm_wgs8,y_utm_wgs8,x_geo_wgs8,y_geo_wgs8,x_utm_psad,y_utm_psad,x_geo_psad,y_geo_psad
473817.7914,9530225.796,-81.23593672,-4.250080253,474074.5187,9530598.162,-81.23361304,-4.246665767
473818.8805,9529707.583,-81.23592833,-4.254768397,474075.6077,9530079.944,-81.23360463,-4.251353906
473818.8805,9529709.761,-81.23592832,-4.254748692,474075.6077,9530082.122,-81.23360463,-4.2513342
473819.9696,9529705.404,-81.23591852,-4.254788106,474076.6968,9530077.765,-81.23359483,-4.251373614
473819.9696,9529707.583,-81.23591852,-4.2547684,474076.6968,9530079.944,-81.23359482,-4.251353909
473821.0587,9530225.796,-81.23590728,-4.250080262,474077.786,9530598.162,-81.23358359,-4.246665776
473821.0587,9530226.885,-81.23590727,-4.250070409,474077.786,9530599.251,-81.23358359,-4.246655923
473823.2369,9529703.226,-81.23588908,-4.254807821,474079.9641,9530075.587,-81.23356539,-4.251393329
473823.2369,9529705.404,-81.23588908,-4.254788115,474079.9641,9530077.765,-81.23356538,-4.251373623
473823.2369,9530226.885,-81.23588764,-4.250070415,474079.9642,9530599.251,-81.23356396,-4.246655929
473823.2369,9530227.974,-81.23588764,-4.250060563,474079.9642,9530600.34,-81.23356396,-4.246646076
473824.326,9529699.959,-81.23587928,-4.254837382,474081.0532,9530072.32,-81.23355558,-4.25142289
473824.326,9529703.226,-81.23587927,-4.254807824,474081.0532,9530075.587,-81.23355558,-4.251393332
473825.4151,9529693.424,-81.23586948,-4.254896502,474082.1423,9530065.785,-81.23354579,-4.25148201
473825.4151,9529699.959,-81.23586946,-4.254837385,474082.1423,9530072.32,-81.23354577,-4.251422893
473825.4151,9530227.974,-81.23586801,-4.250060569,474082.1425,9530600.34,-81.23354433,-4.246646082
473825.4151,9530229.063,-81.23586801,-4.250050716,474082.1425,9530601.429,-81.23354433,-4.24663623
473826.5042,9529691.246,-81.23585967,-4.25491621,474083.2314,9530063.607,-81.23353598,-4.251501718
473826.5042,9529693.424,-81.23585967,-4.254896505,474083.2314,9530065.785,-81.23353597,-4.251482013
473827.5933,9529689.068,-81.23584987,-4.254935919,474084.3205,9530061.429,-81.23352617,-4.251521427
473827.5933,9529691.246,-81.23584986,-4.254916213,474084.3205,9530063.607,-81.23352617,-4.251501721
473828.6824,9529687.979,-81.23584006,-4.254945775,474085.4097,9530060.34,-81.23351636,-4.251531283
473828.6824,9529689.068,-81.23584005,-4.254935922,474085.4097,9530061.429,-81.23351636,-4.25152143
473829.7715,9529686.89,-81.23583024,-4.254955631,474086.4988,9530059.25,-81.23350655,-4.251541138
473829.7715,9529687.979,-81.23583024,-4.254945778,474086.4988,9530060.34,-81.23350655,-4.251531286
473830.8606,9529684.711,-81.23582044,-4.254975339,474087.5879,9530057.072,-81.23349674,-4.251560847
473830.8606,9529686.89,-81.23582043,-4.254955634,474087.5879,9530059.25,-81.23349674,-4.251541141
473831.9497,9529683.622,-81.23581062,-4.254985195,474088.677,9530055.983,-81.23348693,-4.251570703
473831.9497,9529684.711,-81.23581062,-4.254975342,474088.677,9530057.072,-81.23348693,-4.25156085
473833.0388,9529682.533,-81.23580081,-4.254995051,474089.7661,9530054.894,-81.23347712,-4.251580558
473833.0388,9529683.622,-81.23580081,-4.254985198,474089.7661,9530055.983,-81.23347712,-4.251570706
473834.1279,9529680.355,-81.235791,-4.255014759,474090.8552,9530052.716,-81.23346731,-4.251600267
473834.1279,9529682.533,-81.235791,-4.254995054,474090.8552,9530054.894,-81.23346731,-4.251580561
473835.217,9529679.266,-81.23578119,-4.255024615,474091.9443,9530051.627,-81.2334575,-4.251610123
473835.217,9529680.355,-81.23578119,-4.255014762,474091.9443,9530052.716,-81.2334575,-4.25160027
473836.3061,9529677.088,-81.23577139,-4.255044324,474093.0334,9530049.448,-81.23344769,-4.251629831
473836.3061,9529679.266,-81.23577138,-4.255024618,474093.0334,9530051.627,-81.23344769,-4.251610126
473836.3061,9530229.063,-81.23576987,-4.250050746,474093.0336,9530601.429,-81.23344619,-4.246636259
473836.3061,9530231.242,-81.23576986,-4.25003104,474093.0336,9530603.608,-81.23344619,-4.246616554
473837.3952,9529675.999,-81.23576157,-4.25505418,474094.1225,9530048.359,-81.23343788,-4.251639687
473837.3952,9529677.088,-81.23576157,-4.255044327,474094.1225,9530049.448,-81.23343788,-4.251629834
473838.4843,9529674.91,-81.23575176,-4.255064036,474095.2116,9530047.27,-81.23342807,-4.251649543
473838.4843,9529675.999,-81.23575176,-4.255054183,474095.2116,9530048.359,-81.23342807,-4.25163969
473838.4843,9530231.242,-81.23575023,-4.250031046,474095.2118,9530603.608,-81.23342656,-4.24661656
473838.4843,9530232.331,-81.23575023,-4.250021193,474095.2118,9530604.697,-81.23342655,-4.246606707
473839.5734,9529672.731,-81.23574195,-4.255083744,474096.3008,9530045.092,-81.23341826,-4.251669251
473839.5734,9529674.91,-81.23574195,-4.255064039,474096.3008,9530047.27,-81.23341826,-4.251649546
473840.4644,9530231.242,-81.23573239,-4.250031052,474097.1919,9530603.608,-81.23340871,-4.246616565
473840.4644,9530232.331,-81.23573239,-4.250021199,474097.1919,9530604.697,-81.23340871,-4.246606712
473840.6625,9529671.642,-81.23573214,-4.2550936,474097.3899,9530044.003,-81.23340845,-4.251679107
473840.6625,9529672.731,-81.23573214,-4.255083747,474097.3899,9530045.092,-81.23340845,-4.251669254
473841.7516,9529669.464,-81.23572233,-4.255113309,474098.479,9530041.825,-81.23339865,-4.251698816
473841.7516,9529671.642,-81.23572233,-4.255093603,474098.479,9530044.003,-81.23339864,-4.25167911
473842.8407,9529667.286,-81.23571253,-4.255133017,474099.5681,9530039.646,-81.23338884,-4.251718524
473842.8407,9529669.464,-81.23571252,-4.255113312,474099.5681,9530041.825,-81.23338883,-4.251698819
473843.9298,9529666.197,-81.23570272,-4.255142873,474100.6572,9530038.557,-81.23337903,-4.25172838
473843.9298,9529667.286,-81.23570271,-4.25513302,474100.6572,9530039.646,-81.23337902,-4.251718527
473845.0189,9529665.108,-81.2356929,-4.255152729,474101.7463,9530037.468,-81.23336922,-4.251738236
473845.0189,9529666.197,-81.2356929,-4.255142876,474101.7463,9530038.557,-81.23336921,-4.251728383
473846.108,9529662.929,-81.2356831,-4.255172437,474102.8354,9530035.29,-81.23335941,-4.251757944
473846.108,9529665.108,-81.23568309,-4.255152732,474102.8354,9530037.468,-81.2333594,-4.251738239
473847.1971,9529661.84,-81.23567328,-4.255182293,474103.9245,9530034.201,-81.2333496,-4.2517678
473847.1971,9529662.929,-81.23567328,-4.25517244,474103.9245,9530035.29,-81.23334959,-4.251757947
473848.2862,9529659.662,-81.23566348,-4.255202002,474105.0136,9530032.023,-81.23333979,-4.251787509
473848.2862,9529661.84,-81.23566347,-4.255182296,474105.0136,9530034.201,-81.23333978,-4.251767803
473849.3753,9529657.484,-81.23565367,-4.25522171,474106.1027,9530029.844,-81.23332998,-4.251807217
473849.3753,9529659.662,-81.23565366,-4.255202005,474106.1027,9530032.023,-81.23332997,-4.251787512
473850.4644,9529656.395,-81.23564386,-4.255231566,474107.1919,9530028.755,-81.23332017,-4.251817073
473850.4644,9529657.484,-81.23564385,-4.255221713,474107.1919,9530029.844,-81.23332017,-4.25180722
473851.5535,9529654.217,-81.23563405,-4.255251275,474108.281,9530026.577,-81.23331036,-4.251836782
